name,state,url
ABC Stores,Hawaii,/wiki/ABC_Stores_(Hawaii)
Alexander & Baldwin,Hawaii,/wiki/Alexander_%26_Baldwin
Aloha Petroleum,Hawaii,/wiki/Aloha_Petroleum
American Savings Bank,Hawaii,/wiki/American_Savings_Bank
Aqua Hotels and Resorts,Hawaii,/wiki/Aqua_Hotels_and_Resorts
Bank of Hawaii,Hawaii,/wiki/Bank_of_Hawaii
Blue Planet Software,Hawaii,/wiki/Blue_Planet_Software
Central Pacific Bank,Hawaii,/wiki/Central_Pacific_Bank
Code Rebel,Hawaii,/wiki/Code_Rebel
First Hawaiian Bank,Hawaii,/wiki/First_Hawaiian_Bank
Foodland Hawaii,Hawaii,/wiki/Foodland_Hawaii
Hawaii National Bank,Hawaii,/wiki/Hawaii_National_Bank
Hawaiian Electric Industries,Hawaii,/wiki/Hawaiian_Electric_Industries
Hawaiian Telcom,Hawaii,/wiki/Hawaiian_Telcom
Island Pacific Energy,Hawaii,/wiki/Island_Pacific_Energy
Kamakura Corporation,Hawaii,/wiki/Kamakura_Corporation
Kauaʻi Island Utility Cooperative,Hawaii,/wiki/Kaua%CA%BBi_Island_Utility_Cooperative
"Matson, Inc.",Hawaii,"/wiki/Matson,_Inc."
Maui Land & Pineapple Company,Hawaii,/wiki/Maui_Land_%26_Pineapple_Company
Mauna Loa Macadamia Nut Corporation,Hawaii,/wiki/Mauna_Loa_Macadamia_Nut_Corporation
Mountain Apple Company,Hawaii,/wiki/Mountain_Apple_Company
Outrigger Hotels & Resorts,Hawaii,/wiki/Outrigger_Hotels_%26_Resorts
Pacific LightNet,Hawaii,/wiki/Pacific_LightNet
Phase2 International,Hawaii,/wiki/Phase2_International_(company)
Shirokiya,Hawaii,/wiki/Shirokiya
Sullivan Family of Companies,Hawaii,/wiki/Sullivan_Family_of_Companies
Times Supermarkets,Hawaii,/wiki/Times_Supermarkets
Tori Richard,Hawaii,/wiki/Tori_Richard
Visionary Related Entertainment,Hawaii,/wiki/Visionary_Related_Entertainment
Agriprocessors,Iowa,/wiki/Agriprocessors
Casey's General Stores,Iowa,/wiki/Casey%27s_General_Stores
Dubuque Bank and Trust,Iowa,/wiki/Dubuque_Bank_and_Trust
Fareway,Iowa,/wiki/Fareway
Happy Joe's,Iowa,/wiki/Happy_Joe%27s
Hartig Drug,Iowa,/wiki/Hartig_Drug
HNI Corporation,Iowa,/wiki/HNI_Corporation
Hy-Vee,Iowa,/wiki/Hy-Vee
i wireless,Iowa,/wiki/I_wireless
Kum & Go,Iowa,/wiki/Kum_%26_Go
Lee Enterprises,Iowa,/wiki/Lee_Enterprises
Maid-Rite,Iowa,/wiki/Maid-Rite
McLeodUSA,Iowa,/wiki/McLeodUSA
Meredith Corporation,Iowa,/wiki/Meredith_Corporation
Montgomery Ward,Iowa,/wiki/Montgomery_Ward
Musco Sport Lighting,Iowa,/wiki/Musco_Sport_Lighting
Norby's Farm Fleet,Iowa,/wiki/Norby%27s_Farm_Fleet
Panchero's Mexican Grill,Iowa,/wiki/Panchero%27s_Mexican_Grill
Pioneer Hi-Bred,Iowa,/wiki/Pioneer_Hi-Bred
Pizza Ranch,Iowa,/wiki/Pizza_Ranch
Principal Financial Group,Iowa,/wiki/Principal_Financial_Group
Radio Dubuque,Iowa,/wiki/Radio_Dubuque
The Right Stuf International,Iowa,/wiki/The_Right_Stuf_International
Riverdeep,Iowa,/wiki/Riverdeep
Rockwell Collins,Iowa,/wiki/Rockwell_Collins
Startly Technologies,Iowa,/wiki/Startly_Technologies
Vermeer Company,Iowa,/wiki/Vermeer_Company
Von Maur,Iowa,/wiki/Von_Maur
West Liberty Foods,Iowa,/wiki/West_Liberty_Foods
Winnebago Industries,Iowa,/wiki/Winnebago_Industries
1st Source,Indiana,/wiki/1st_Source
Accuride,Indiana,/wiki/Accuride
Allison Transmission,Indiana,/wiki/Allison_Transmission
AM General,Indiana,/wiki/AM_General
Angie's List,Indiana,/wiki/Angie%27s_List
